es_hombre,edad,modo,proposito,periodo,etapas,dist_km,comuna_origen,tiempo
0,40,Bus TS,Otro,Noche,1,5.39,MAIPU,70
1,21,Bus TS-Metro,Trabajo,Fuera Punta,2,18.84,MAIPU,105
1,21,Bus TS-Metro,Trabajo,Fuera Punta,2,18.84,LAS CONDES,90
0,48,Bus TS-Metro,Trabajo,Fuera Punta,2,13.39,MAIPU,55
0,48,Bus TS-Metro,Trabajo,Punta Tarde,2,13.39,ÑUÑOA,150
0,79,Auto,Otro,Fuera Punta,1,17.77,MAIPU,60
0,79,Auto,Otro,Fuera Punta,1,17.77,SANTIAGO,45
0,33,Auto,Otro,Punta Mañana,1,2.02,MAIPU,30
0,33,Auto,Trabajo,Punta Mañana,1,1.39,MAIPU,10
0,33,Auto,Otro,Fuera Punta,1,1.39,MAIPU,10
0,33,Auto,Otro,Punta Tarde,1,2.02,MAIPU,20
1,0,Auto,Estudio,Punta Mañana,1,2.02,MAIPU,30
1,0,Auto,Estudio,Punta Tarde,1,2.02,MAIPU,10
1,3,Otros,Estudio,Punta Mañana,1,0.68,MAIPU,20
1,3,Otros,Estudio,Fuera Punta,1,0.68,MAIPU,20
1,34,Otros,Trabajo,Fuera Punta,2,10.89,MAIPU,60
1,34,Auto,Trabajo,Fuera Punta,1,10.89,PUDAHUEL,40
1,41,Taxi,Otro,Punta Mañana,2,11.78,MAIPU,120
1,41,TaxiCol-Metro,Otro,Punta Tarde,2,11.78,SANTIAGO,90
0,36,Taxi,Trabajo,Punta Mañana,1,11.79,MAIPU,70
0,36,TaxiCol-Metro,Trabajo,Punta Tarde,2,11.78,SANTIAGO,100
1,47,Bus TS-Metro,Trabajo,Punta Mañana,2,13.53,MAIPU,90
1,47,Bus TS-Metro,Trabajo,Punta Tarde,2,13.55,SANTIAGO,110
1,22,Bus TS-Metro,Estudio,Punta Mañana,2,14.69,MAIPU,60
1,22,Bus TS-Metro,Estudio,Fuera Punta,2,14.69,SANTIAGO,85
0,19,Bus TS-Metro,Estudio,Fuera Punta,2,14.69,MAIPU,70
0,19,Bus TS-Metro,Estudio,Punta Tarde,2,14.69,SANTIAGO,90
0,54,Bus TS,Otro,Fuera Punta,1,2.22,MAIPU,30
0,54,Bus TS,Otro,Fuera Punta,1,2.22,CERRILLOS,20
0,54,Bus TS,Otro,Fuera Punta,1,3.36,MAIPU,45
0,54,Bus TS,Otro,Punta Tarde,1,3.36,MAIPU,40
0,54,Bus TS,Otro,Punta Tarde,1,1.81,MAIPU,25
0,54,Bus TS,Otro,Fuera Punta,1,1.81,MAIPU,25
1,53,Bus TS,Otro,Fuera Punta,1,2.22,MAIPU,30
1,53,Bus TS,Otro,Fuera Punta,1,2.22,CERRILLOS,20
1,53,Bus TS,Otro,Fuera Punta,1,3.36,MAIPU,45
1,53,Bus TS,Otro,Punta Tarde,1,3.36,MAIPU,40
1,53,Bus TS,Otro,Punta Tarde,1,1.81,MAIPU,25
1,53,Bus TS,Otro,Fuera Punta,1,1.81,MAIPU,25
0,26,Bus TS,Otro,Fuera Punta,3,14.51,MAIPU,60
0,26,Taxi Colectivo,Otro,Fuera Punta,1,14.51,CONCHALI,20
0,31,Bus TS,Otro,Fuera Punta,1,7.52,MAIPU,40
0,31,Bus TS,Otro,Fuera Punta,1,7.43,SANTIAGO,40
0,31,Bus TS,Otro,Fuera Punta,1,0.8,MAIPU,30
1,29,Bus TS,Otro,Fuera Punta,3,14.51,MAIPU,60
1,29,Taxi Colectivo,Otro,Fuera Punta,1,14.51,CONCHALI,20
0,6,Bus TS,Otro,Fuera Punta,1,7.52,MAIPU,40
0,6,Bus TS,Otro,Fuera Punta,1,7.43,SANTIAGO,40
0,6,Bus TS,Otro,Fuera Punta,1,0.8,MAIPU,30
0,14,Bus TS,Otro,Fuera Punta,1,2.1,MAIPU,40
1,26,Bus-Metro,Trabajo,Punta Tarde,2,39.11,PROVIDENCIA,90
1,60,Taxi Colectivo,Otro,Fuera Punta,1,3.27,BUIN,10
1,60,Bus no TS,Otro,Fuera Punta,1,3.27,BUIN,20
1,53,Caminata,Trabajo,Fuera Punta,1,1.83,BUIN,20
1,53,Caminata,Trabajo,Noche,1,1.83,BUIN,20
0,56,Auto,Trabajo,Fuera Punta,1,34.0,BUIN,25
0,56,Auto,Trabajo,Fuera Punta,1,34.0,INDEPENDENCIA,35
1,55,Bicicleta,Trabajo,Noche,1,3.77,BUIN,20
1,55,Bicicleta,Trabajo,Fuera Punta,1,3.77,BUIN,35
1,55,Bus no TS,Otro,Fuera Punta,1,3.98,BUIN,40
1,55,Bus no TS,Otro,Fuera Punta,2,3.98,BUIN,40
0,51,Bus no TS,Otro,Punta Mañana,1,3.98,BUIN,30
0,51,Bus no TS,Otro,Punta Mañana,2,3.98,BUIN,50
0,51,Bus no TS,Otro,Fuera Punta,1,3.98,BUIN,40
0,51,Bus no TS,Otro,Fuera Punta,2,3.98,BUIN,40
1,21,Bus no TS,Estudio,Fuera Punta,1,24.77,BUIN,75
1,21,Bus no TS,Estudio,Fuera Punta,1,24.77,LA FLORIDA,105
1,11,Bus no TS,Estudio,Punta Mañana,1,3.98,BUIN,30
1,11,Bus no TS,Estudio,Fuera Punta,2,3.98,BUIN,40
0,73,Bus no TS,Otro,Fuera Punta,1,31.49,BUIN,50
0,73,Bus no TS,Otro,Fuera Punta,1,31.49,ESTACION CENTRAL,70
1,43,Taxi Colectivo,Trabajo,Punta Mañana,1,0.78,BUIN,15
1,43,Taxi Colectivo,Trabajo,Fuera Punta,1,0.78,BUIN,30
1,58,Caminata,Otro,Fuera Punta,1,0.94,BUIN,35
1,58,Caminata,Otro,Fuera Punta,1,1.48,BUIN,70
0,51,Otros,Trabajo,Noche,1,1.05,BUIN,40
0,51,Taxi Colectivo,Trabajo,Fuera Punta,1,1.45,BUIN,30
1,35,Auto,Trabajo,Punta Mañana,1,14.99,BUIN,70
1,35,Auto,Trabajo,Punta Tarde,1,14.92,ISLA DE MAIPO,50
1,31,Taxi Colectivo,Trabajo,Punta Mañana,1,1.74,BUIN,30
